Emplid;Periodo;Programa Academico
8918786;20222;Ingeniería Industrial
8922587;20222;Ingeniería Industrial
8924421;20222;Ingeniería Industrial
8922415;20231;Ingeniería Industrial
8932789;20222;Ingeniería Industrial
7291446;20232;Ingeniería Industrial
8925792;20232;Ingeniería Industrial
8938433;20232;Ingeniería Industrial
8940430;20232;Ingeniería Industrial
8943112;20232;Ingeniería Industrial
8943267;20232;Ingeniería Industrial
8943640;20232;Ingeniería Industrial
8943750;20232;Ingeniería Industrial
8943992;20232;Ingeniería Industrial
8944069;20232;Ingeniería Industrial
8944129;20232;Ingeniería Industrial
8944267;20232;Ingeniería Industrial
8945956;20232;Ingeniería Industrial
8946474;20232;Ingeniería Industrial
8947169;20232;Ingeniería Industrial
8947317;20232;Ingeniería Industrial
8947321;20232;Ingeniería Industrial
8947739;20232;Ingeniería Industrial
8947807;20232;Ingeniería Industrial
8949563;20232;Ingeniería Industrial
8950022;20232;Ingeniería Industrial
8950320;20232;Ingeniería Industrial
8950356;20232;Ingeniería Industrial
8950397;20232;Ingeniería Industrial
8951445;20232;Ingeniería Industrial
8947780;20231;Ingeniería Industrial
8944080;20231;Ingeniería Industrial
8947167;20231;Ingeniería Industrial
8939248;20222;Ingeniería Industrial
8943717;20222;Ingeniería Industrial
8943718;20222;Ingeniería Industrial
8946569;20231;Ingeniería Industrial
8942574;20222;Ingeniería Industrial
8943877;20231;Ingeniería Industrial
8947131;20231;Ingeniería Industrial
5811545;20222;Ingeniería Industrial
8925960;20222;Ingeniería Industrial
8938990;20222;Ingeniería Industrial
8940726;20231;Ingeniería Industrial
8943013;20231;Ingeniería Industrial
8943725;20231;Ingeniería Industrial
8943780;20222;Ingeniería Industrial
8944150;20222;Ingeniería Industrial
8946409;20231;Ingeniería Industrial
8946564;20231;Ingeniería Industrial
8946581;20231;Ingeniería Industrial
8946757;20231;Ingeniería Industrial
8947901;20231;Ingeniería Industrial
00008937994;20231;Ingeniería Industrial
8931578;20231;Ingeniería Industrial
8934929;20222;Ingeniería Industrial
8938622;20222;Ingeniería Industrial
8938845;20231;Ingeniería Industrial
8942759;20231;Ingeniería Industrial
8942764;20222;Ingeniería Industrial
8942888;20231;Ingeniería Industrial
8947011;20231;Ingeniería Industrial
8947474;20231;Ingeniería Industrial
8947561;20231;Ingeniería Industrial
8925793;20231;Ingeniería Industrial
8936385;20222;Ingeniería Industrial
8939460;20231;Ingeniería Industrial
8943238;20222;Ingeniería Industrial
8944094;20222;Ingeniería Industrial
8946049;20231;Ingeniería Industrial
8946407;20231;Ingeniería Industrial
8947178;20231;Ingeniería Industrial
8947893;20231;Ingeniería Industrial
8953099;20231;Ingeniería Industrial
6041800;20222;Ingeniería Industrial
8922252;20231;Ingeniería Industrial
8939112;20222;Ingeniería Industrial
8942687;20231;Ingeniería Industrial
8942713;20222;Ingeniería Industrial
8934220;20231;Ingeniería Industrial
8942076;20231;Ingeniería Industrial
8946932;20231;Ingeniería Industrial
8951026;20231;Ingeniería Industrial
8939372;20231;Ingeniería Civil
0066668;20232;Ingeniería Civil
0218633;20232;Ingeniería Civil
2321163;20232;Ingeniería Civil
8598283;20232;Ingeniería Civil
8926736;20232;Ingeniería Civil
8929617;20232;Ingeniería Civil
8935996;20232;Ingeniería Civil
8940536;20232;Ingeniería Civil
8942719;20232;Ingeniería Civil
8943054;20232;Ingeniería Civil
8943196;20232;Ingeniería Civil
8943428;20232;Ingeniería Civil
8943499;20232;Ingeniería Civil
8943963;20232;Ingeniería Civil
8944179;20232;Ingeniería Civil
8946497;20232;Ingeniería Civil
8946542;20232;Ingeniería Civil
8946792;20232;Ingeniería Civil
8947233;20232;Ingeniería Civil
8947259;20232;Ingeniería Civil
8947353;20222;Ingeniería Civil
8947388;20232;Ingeniería Civil
8947569;20232;Ingeniería Civil
8947827;20232;Ingeniería Civil
8948005;20232;Ingeniería Civil
8948376;20232;Ingeniería Civil
8949280;20232;Ingeniería Civil
8949470;20232;Ingeniería Civil
8949515;20232;Ingeniería Civil
8949800;20232;Ingeniería Civil
8949829;20232;Ingeniería Civil
8949907;20232;Ingeniería Civil
8949929;20232;Ingeniería Civil
8949973;20232;Ingeniería Civil
8950125;20232;Ingeniería Civil
8950161;20232;Ingeniería Civil
